Country name,Year,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness Change,5-Year Change
Tanzania,2024,136,3.8,3.938,3.661,0.847,0.908,0.411,0.858,0.153,0.243,0.38,0.018999999999999684,0.32379989624022976
Thailand,2024,49,6.222,6.327,6.117,1.426,1.551,0.633,0.927,0.223,0.039,1.423,0.24600000000000044,0.22320019912720035
Togo,2024,127,4.315,4.43,4.2,0.757,0.736,0.378,0.576,0.097,0.153,1.618,0.10099999999999998,0.12779993057251016
Trinidad and Tobago,2024,70,5.905,6.159,5.651,1.549,1.532,0.419,0.76,0.111,0.001,1.533,-0.28689977645874,-0.2629999999999999
Tunisia,2024,113,4.552,4.633,4.47,1.257,1.224,0.459,0.382,0.032,0.05,1.149,0.1299999999999999,0.15980000686646
Turkmenistan,2021,78,5.474,5.578,5.371,1.484,1.319,0.516,0.649,0.314,0.032,1.16,0.40800000000000036,-0.34799999999999986
Türkiye,2024,94,5.262,5.347,5.178,1.582,1.444,0.626,0.244,0.04,0.104,1.223,0.2869999999999999,0.13019982528686924
Uganda,2024,116,4.461,4.587,4.336,0.762,1.342,0.396,0.751,0.148,0.05,1.012,0.08900000000000041,0.0289998397827107
Ukraine,2024,111,4.68,4.794,4.565,1.328,1.472,0.472,0.689,0.245,0.023,0.451,-0.1930000000000005,0.11930006027222007
United Arab Emirates,2024,21,6.759,6.846,6.673,1.812,1.294,0.659,0.934,0.165,0.235,1.66,0.02600000000000069,-0.03180009460449007
United Kingdom,2024,23,6.728,6.809,6.647,1.725,1.562,0.779,0.872,0.211,0.318,1.26,-0.020999999999999908,-0.4365002365112298
United States,2024,24,6.724,6.82,6.629,1.839,1.614,0.604,0.644,0.171,0.161,1.69,-0.0009999999999994458,-0.21559999084472992
Uruguay,2024,28,6.661,6.743,6.578,1.554,1.654,0.523,0.913,0.078,0.197,1.741,0.04999999999999982,0.22089980697631972
Uzbekistan,2024,53,6.193,6.297,6.088,1.179,1.615,0.654,0.977,0.195,0.208,1.364,-0.002000000000000668,-0.06459983062744001
Venezuela,2024,82,5.683,5.796,5.57,0.0,1.493,0.515,0.702,0.154,0.117,2.701,0.07599999999999962,0.62980023193359
Viet Nam,2024,46,6.352,6.424,6.28,1.278,1.533,0.631,1.012,0.039,0.174,1.684,0.30900000000000016,0.9985001106262201
Yemen,2024,140,3.561,3.714,3.408,0.631,1.482,0.375,0.447,0.066,0.106,0.454,0.0,0.18100000000000005
Zambia,2024,131,3.912,4.056,3.769,0.848,1.013,0.233,0.872,0.131,0.107,0.709,0.41000000000000014,0.15260010910033994
Zimbabwe,2024,143,3.396,3.509,3.283,0.827,0.961,0.178,0.598,0.065,0.131,0.636,0.054999999999999716,0.0967999420165997
